graph_name,graph_source,num_nodes,num_edges,epsilon,top_k,top_k_ratio,exact_time,method_x,method_y,spearman
Yeast,real,2375,11693,0.2,238,0.1,12.728102445602417,EXACT,ABRA,0.8066523433695275
Yeast,real,2375,11693,0.2,238,0.1,12.728102445602417,EXACT,SILVAN,0.8333645958827096
Yeast,real,2375,11693,0.2,238,0.1,12.728102445602417,EXACT,GPU_SIR_BRIDGE,0.8517890134357515
Yeast,real,2375,11693,0.2,238,0.1,12.728102445602417,BP,EXACT,0.6112828362432529
Yeast,real,2375,11693,0.2,238,0.1,12.728102445602417,BP,BP,1.0
Yeast,real,2375,11693,0.2,238,0.1,12.728102445602417,BP,RK,0.45608094807361355
Yeast,real,2375,11693,0.2,238,0.1,12.728102445602417,BP,ABRA,0.5700930994911315
Yeast,real,2375,11693,0.2,238,0.1,12.728102445602417,BP,SILVAN,0.6120981432071189
Yeast,real,2375,11693,0.2,238,0.1,12.728102445602417,BP,GPU_SIR_BRIDGE,0.5134827684975947
Yeast,real,2375,11693,0.2,238,0.1,12.728102445602417,RK,EXACT,0.5445972877126298
Yeast,real,2375,11693,0.2,238,0.1,12.728102445602417,RK,BP,0.45608094807361355
Yeast,real,2375,11693,0.2,238,0.1,12.728102445602417,RK,RK,1.0
Yeast,real,2375,11693,0.2,238,0.1,12.728102445602417,RK,ABRA,0.48729335071787255
Yeast,real,2375,11693,0.2,238,0.1,12.728102445602417,RK,SILVAN,0.5370862343870235
Yeast,real,2375,11693,0.2,238,0.1,12.728102445602417,RK,GPU_SIR_BRIDGE,0.47882862591618003
Yeast,real,2375,11693,0.2,238,0.1,12.728102445602417,ABRA,EXACT,0.8066523433695276
Yeast,real,2375,11693,0.2,238,0.1,12.728102445602417,ABRA,BP,0.5700930994911315
Yeast,real,2375,11693,0.2,238,0.1,12.728102445602417,ABRA,RK,0.4872933507178726
Yeast,real,2375,11693,0.2,238,0.1,12.728102445602417,ABRA,ABRA,1.0
Yeast,real,2375,11693,0.2,238,0.1,12.728102445602417,ABRA,SILVAN,0.7301179761465236
Yeast,real,2375,11693,0.2,238,0.1,12.728102445602417,ABRA,GPU_SIR_BRIDGE,0.7147340665160561
Yeast,real,2375,11693,0.2,238,0.1,12.728102445602417,SILVAN,EXACT,0.8333645958827096
Yeast,real,2375,11693,0.2,238,0.1,12.728102445602417,SILVAN,BP,0.612098143207119
Yeast,real,2375,11693,0.2,238,0.1,12.728102445602417,SILVAN,RK,0.5370862343870235
Yeast,real,2375,11693,0.2,238,0.1,12.728102445602417,SILVAN,ABRA,0.7301179761465236
Yeast,real,2375,11693,0.2,238,0.1,12.728102445602417,SILVAN,SILVAN,1.0
Yeast,real,2375,11693,0.2,238,0.1,12.728102445602417,SILVAN,GPU_SIR_BRIDGE,0.7002296298711476
Yeast,real,2375,11693,0.2,238,0.1,12.728102445602417,GPU_SIR_BRIDGE,EXACT,0.8517890134357515
Yeast,real,2375,11693,0.2,238,0.1,12.728102445602417,GPU_SIR_BRIDGE,BP,0.5134827684975947
Yeast,real,2375,11693,0.2,238,0.1,12.728102445602417,GPU_SIR_BRIDGE,RK,0.47882862591618
Yeast,real,2375,11693,0.2,238,0.1,12.728102445602417,GPU_SIR_BRIDGE,ABRA,0.7147340665160561
Yeast,real,2375,11693,0.2,238,0.1,12.728102445602417,GPU_SIR_BRIDGE,SILVAN,0.7002296298711476
Yeast,real,2375,11693,0.2,238,0.1,12.728102445602417,GPU_SIR_BRIDGE,GPU_SIR_BRIDGE,1.0
bitcoin-alpha,real,3783,14124,0.2,379,0.1,85.46698427200317,EXACT,EXACT,1.0
bitcoin-alpha,real,3783,14124,0.2,379,0.1,85.46698427200317,EXACT,BP,0.45978612658798945
bitcoin-alpha,real,3783,14124,0.2,379,0.1,85.46698427200317,EXACT,RK,0.3922558563415133
bitcoin-alpha,real,3783,14124,0.2,379,0.1,85.46698427200317,EXACT,ABRA,0.6749026424722322
bitcoin-alpha,real,3783,14124,0.2,379,0.1,85.46698427200317,EXACT,SILVAN,0.6628566772886616
bitcoin-alpha,real,3783,14124,0.2,379,0.1,85.46698427200317,EXACT,GPU_SIR_BRIDGE,0.9162188286331091
bitcoin-alpha,real,3783,14124,0.2,379,0.1,85.46698427200317,BP,EXACT,0.4597861265879895
bitcoin-alpha,real,3783,14124,0.2,379,0.1,85.46698427200317,BP,BP,1.0
bitcoin-alpha,real,3783,14124,0.2,379,0.1,85.46698427200317,BP,RK,0.4619432913744014
